distName,st_cen_cd,censuscode,SOL_14,SOL_15,SOL_16,SOL_17,SOL_18
Champawat,5,65,1693.0342,2278.376,1140.2594,2023.22,1935.54
Yadgir,29,580,11524.502,12534.282,9970.3955,13460.211,13954.789
Sidhi,23,462,6761.2324,9504.187,6713.2656,12586.7,12435.171
Uttarkashi,5,56,11943.011,11068.096,4836.4443,11282.67,9759.861
Madhubani,10,207,10694.021,13622.624,10852.752,13781.42,19246.11
Satara,27,527,15579.219,18784.453,14712.196,25089.531,28612.834
Indore,23,439,37068.184,40227.344,37499.555,40638.633,45855.668
Maldah,19,332,14957.928,15837.156,13793.891,16189.49,15820.85
Baksa,18,324,5143.1836,4565.007,3727.177,5086.64,5544.7295
Kathua,1,7,12858.601,13401.075,11182.217,11007.47,11402.09
Junagadh,24,479,23003.166,25823.664,19006.262,30345.871,30801.549
Haora,19,341,20751.951,19396.562,19563.04,23106.918,23900.91
Kannauj,9,160,12735.039,16216.732,14471.586,13730.539,12653.76
Golaghat,18,313,13387.581,13484.939,13144.762,15131.81,17467.26
Dehradun,5,60,25446.691,24017.492,22578.822,23389.18,24416.441
Chatra,20,347,2669.8357,4356.434,2377.4236,7167.76,7041.32
Shajapur,23,436,11799.435,15855.85,10212.066,15440.551,18744.88
Jind,6,77,20807.848,17348.594,10357.7705,11943.709,16128.22
Rajgarh,23,442,9355.935,16061.693,12651.295,17075.04,20652.94
Amritsar,3,49,36529.664,35646.016,34057.773,32978.5,33368.68
Lakshadweep,31,587,-121.66834,183.99686,-164.11966,472.54,464.46
Gonda,9,183,13940.106,14537.948,20100.713,24913.168,22276.959
Jabalpur,23,451,26511.219,29436.104,27745.264,30996.56,33973.242
West Siang,12,250,3715.8193,6630.0996,-522.1758,4636.27,4342.12
Leh (ladakh),1,3,144603.39,112932.125,62352.855,114583.164,92801.72
Mumbai Suburban,27,518,42966.234,41383.344,42111.53,43326.38,47142.08
Thoothukkudi,33,627,5781.717,13683.282,13110.164,16307.67,16952.379
Bhavnagar,24,481,25789.809,26461.68,21254.844,29679.338,31914.55
Narmada,24,487,3534.544,4176.577,2657.208,5369.8096,6595.0195
Koraput,21,398,8804.253,11194.757,7701.284,14953.591,15034.16
Lohit,12,259,2696.8657,3337.754,497.54077,3230.3,3146.89
Hassan,29,574,10990.153,15213.379,14417.524,19476.578,22002.1
Nainital,5,66,11778.183,12820.03,10058.762,11752.92,12411.2
Tawang,12,245,1320.9812,1660.3737,-121.091606,1547.3501,1425.56
Nashik,27,516,51059.844,56656.6,50729.684,65160.63,73143.47
Garhchiroli,27,508,4175.6606,8828.551,-423.3802,13931.44,11069.07
Latehar,20,359,3565.6946,4517.5454,1628.318,5634.71,5452.98
Uttar Bastar Kanker,22,413,4368.484,5656.945,1989.4719,8415.32,7594.1196
Serchhip,15,285,390.3145,634.22363,-99.32869,821.76,641.35
Subarnapur,21,392,4445.2793,5167.0493,3537.963,5207.9697,4983.2
North East,7,92,9293.937,11003.532,8990.046,9165.641,9969.42
Rajouri,1,6,7599.2783,6415.744,8052.022,8242.94,7109.9204
Alwar,8,104,65778.34,73724.68,46341.195,52584.332,61861.777
Panna,23,426,6388.589,9058.361,6671.258,13039.32,13750.981
Dhar,23,438,16887.916,19179.906,15503.41,23757.77,26779.75
Shrawasti,9,181,4687.7803,6389.505,5500.7056,9137.2295,8579.051
East Godavari,28,545,43414.19,38541.453,30922.38,39556.98,52056.902
Kanniyakumari,33,629,8390.428,9380.248,9538.735,9257.15,9695.301
Jalgaon,27,499,21167.51,23972.543,20345.805,30828.762,33931.07
